CUSIP,Security Type,Security Term,Auction Date,Issue Date,Maturity Date,Price,Investment Rate,High Yield,Interest Payment Frequency,Interest Rate
912797KN6,Bill,17-Week,03/06/2024,03/12/2024,07/09/2024,98.279458,0.0537,,None,
912796CX5,Bill,42-Day,03/05/2024,03/07/2024,04/18/2024,99.383417,0.05392,,None,
912797HT7,Bill,13-Week,03/04/2024,03/07/2024,06/06/2024,98.675444,0.05384,,None,
912797GL5,Bill,26-Week,03/04/2024,03/07/2024,09/05/2024,97.419139,0.05313,,None,
912797JL2,Bill,4-Week,02/29/2024,03/05/2024,04/02/2024,99.588944,0.05381,,None,
912797JQ1,Bill,8-Week,02/29/2024,03/05/2024,04/30/2024,99.177889,0.05403,,None,
912797KH9,Bill,17-Week,02/28/2024,03/05/2024,07/02/2024,98.272847,0.05391,,None,
912797HF7,Bill,42-Day,02/27/2024,02/29/2024,04/11/2024,99.382833,0.05397,,None,
91282CKC4,Note,7-Year,02/27/2024,02/29/2024,02/28/2031,99.539228,,0.04327,Semi-Annual,0.0425
912797HS9,Bill,13-Week,02/26/2024,02/29/2024,05/30/2024,98.671653,0.054,,None,
912797KD8,Bill,26-Week,02/26/2024,02/29/2024,08/29/2024,97.406500,0.0534,,None,
91282CKB6,Note,2-Year,02/26/2024,02/29/2024,02/28/2026,99.875391,,0.04691,Semi-Annual,0.04625
91282CKD2,Note,5-Year,02/26/2024,02/29/2024,02/28/2029,99.688225,,0.0432,Semi-Annual,0.0425
912810TY4,Bond,30-Year,02/22/2024,02/29/2024,02/15/2054,98.312710,,0.022,Semi-Annual,0.02125
912797JK4,Bill,4-Week,02/22/2024,02/27/2024,03/26/2024,99.588944,0.05395,,None,
912797JP3,Bill,8-Week,02/22/2024,02/27/2024,04/23/2024,99.179444,0.05407,,None,
912810TZ1,Bond,20-Year,02/21/2024,02/29/2024,02/15/2044,98.763752,,0.04595,Semi-Annual,0.045
912797KG1,Bill,17-Week,02/21/2024,02/27/2024,06/25/2024,98.276153,0.05395,,None,
91282CJU6,Note,1-Year 11-Month,02/21/2024,02/23/2024,01/31/2026,100.079758,,,Quarterly,
912797GZ4,Bill,42-Day,02/20/2024,02/22/2024,04/04/2024,99.384000,0.05401,,None,
912797HR1,Bill,13-Week,02/20/2024,02/22/2024,05/23/2024,98.677972,0.05388,,None,
912797KC0,Bill,26-Week,02/20/2024,02/22/2024,08/22/2024,97.421667,0.05322,,None,
912797KA4,Bill,52-Week,02/20/2024,02/22/2024,02/20/2025,95.252833,0.0495,,None,
912797JJ7,Bill,4-Week,02/15/2024,02/20/2024,03/19/2024,99.589333,0.0539,,None,
912797JN8,Bill,8-Week,02/15/2024,02/20/2024,04/16/2024,99.180222,0.05402,,None,
912797KF3,Bill,17-Week,02/14/2024,02/20/2024,06/18/2024,98.276153,0.05395,,None,
912797GY7,Bill,42-Day,02/13/2024,02/15/2024,03/28/2024,99.384000,0.05401,,None,
912797FH5,Bill,13-Week,02/12/2024,02/15/2024,05/16/2024,98.677972,0.05388,,None,
912797KB2,Bill,26-Week,02/12/2024,02/15/2024,08/15/2024,97.439361,0.05285,,None,
912810TX6,Bond,30-Year,02/08/2024,02/15/2024,02/15/2054,98.168819,,0.0436,Semi-Annual,0.0425
912797JH1,Bill,4-Week,02/08/2024,02/13/2024,03/12/2024,99.589333,0.0539,,None,
912797JM0,Bill,8-Week,02/08/2024,02/13/2024,04/09/2024,99.180222,0.05402,,None,
91282CJZ5,Note,10-Year,02/07/2024,02/15/2024,02/15/2034,99.243059,,0.04093,Semi-Annual,0.04
